age,d13Ca_2p5,d13Ca_25,d13Ca_50,d13Ca_75,d13Ca_97p5
28.449863,-6.575257531,-6.275801779,-6.114510403,-5.929585348,-5.566671039
28.549863,-6.605834608,-6.301743291,-6.142750316,-5.950001494,-5.589227544
28.649863,-6.572631877,-6.27548785,-6.113881251,-5.927748058,-5.554428677
28.749863,-6.480574399,-6.174722102,-6.012400187,-5.823025393,-5.455900665
28.849863,-6.418372187,-6.117563664,-5.953265618,-5.761740933,-5.406391647
28.949863,-6.38482483,-6.070372376,-5.90775971,-5.721622245,-5.357863033
29.049863,-6.36073958,-6.064392717,-5.903012873,-5.714889392,-5.346463225
29.149863,-6.371714744,-6.069354815,-5.91374572,-5.721210828,-5.358727557
29.249863,-6.344818133,-6.041650022,-5.882612819,-5.691386049,-5.333655657
29.349863,-6.371164466,-6.055007734,-5.90118907,-5.709336499,-5.34317313
29.449863,-6.305308469,-5.994268402,-5.831513949,-5.642019842,-5.288053739
29.549863,-6.27811106,-5.974618229,-5.804055744,-5.620056219,-5.262238177
29.649863,-6.242721567,-5.930321164,-5.761986085,-5.582291892,-5.216206403
29.749863,-6.294161689,-5.974749478,-5.810827319,-5.615320237,-5.265767669
29.849863,-6.324153286,-6.006624287,-5.840606021,-5.649096112,-5.287430685
29.949863,-6.261527931,-5.948047577,-5.787466714,-5.597452988,-5.237868851
30.049863,-6.200045672,-5.884902234,-5.719630858,-5.531137399,-5.169816619
30.149863,-6.163462852,-5.852691045,-5.692126515,-5.504536032,-5.141906775
30.249863,-6.188035212,-5.891276742,-5.723005781,-5.537398498,-5.176213232
30.349863,-6.233080113,-5.92702687,-5.761863684,-5.571484128,-5.215065162
30.449863,-6.285134264,-5.981111944,-5.818334079,-5.633460349,-5.264749394
30.549863,-6.169936466,-5.863266981,-5.701171044,-5.509913679,-5.14494216
30.649863,-6.111990955,-5.808564947,-5.640235172,-5.450848094,-5.091197344
30.749863,-6.04286604,-5.726609683,-5.564899598,-5.380105623,-5.002783416
30.849863,-6.002218575,-5.685755414,-5.520438238,-5.32762313,-4.967022806
30.949863,-5.956285787,-5.656111838,-5.491989458,-5.298265866,-4.941731591
31.049863,-5.975684798,-5.654742265,-5.490333924,-5.297085268,-4.940935669
31.149863,-5.979495692,-5.669125644,-5.509733717,-5.316404277,-4.952234452
31.249863,-6.011202095,-5.688127084,-5.528156889,-5.33963834,-4.970809321
31.349863,-6.097215507,-5.788878706,-5.621877306,-5.438237171,-5.06359621
31.449863,-6.094109544,-5.791194698,-5.631709008,-5.443348484,-5.080123852
31.549863,-6.05437057,-5.742859525,-5.581772163,-5.389930887,-5.028708217
31.649863,-6.079015093,-5.765210957,-5.602400386,-5.411407017,-5.054542904
31.749863,-6.128616338,-5.829486186,-5.659971814,-5.473837233,-5.101869882
31.849863,-6.151367485,-5.843807143,-5.677882607,-5.491746109,-5.118065165
31.949863,-6.127970044,-5.814725383,-5.648297255,-5.465553367,-5.089744075
32.049863,-6.132653159,-5.815992224,-5.648550054,-5.465529695,-5.102194773
32.149863,-6.152626307,-5.835912599,-5.673144458,-5.486377093,-5.120017976
32.249863,-6.091838395,-5.798463045,-5.634710865,-5.447232316,-5.078867306
32.349863,-6.043504359,-5.750443312,-5.583621534,-5.400072048,-5.037295307
32.449863,-5.988452574,-5.691607495,-5.521202827,-5.333576028,-4.970591874
32.549863,-5.964200136,-5.663910212,-5.498437005,-5.315335512,-4.952063299
32.649863,-5.896887168,-5.59109703,-5.423807829,-5.240712339,-4.875989136
